target_body_name;launch_date_YYYY-MM-DD;tof_days_d;delta_v_km_s;r1_total_corrected_x_km;r1_total_corrected_y_km;r1_total_corrected_z_km;v1_transfer_x_km_s;v1_transfer_y_km_s;v1_transfer_z_km_s;r2_total_corrected_x_km;r2_total_corrected_y_km;r2_total_corrected_z_km;v2_transfer_x_km_s;v2_transfer_y_km_s;v2_transfer_z_km_s
Mercury;2025-01-01 00:00:00.000;107.43749725349416;23.378768022159143;-27595348.663074065;-68818404.2625428;-29806417.008329473;9.61842935349933;-3.131300357350244;-2.217934207703117;-36028339.8024639;-54393152.38138195;1526264.3650819508;47.59685030320053;-15.587456543124883;-5.1631899306261815
Mercury;2025-01-01 00:00:00.000;105.0;22.785587129903742;-27595348.663074065;-68818404.2625428;-29806417.008329473;9.61842935349933;-2.7296157314441496;-3.9471255873075592;-21057206.18143322;-60450540.2417002;1526264.3650819508;-5.405992415800168;-9.665124544585796;1.2250440091569674
Mercury;2025-01-01 00:00:00.000;108.93721928183722;22.855691962664334;-27595348.663074065;-68818404.2625428;-29806417.008329473;9.61842935349933;-2.7296157314441496;-3.9471255873075592;-21057206.18143322;-60450540.2417002;1526264.3650819508;-5.405992415800168;-9.665124544585796;1.2250440091569674
Mercury;2025-01-06 00:00:00.000;104.23951882746913;21.653664218716653;-40329075.5617319;-68818404.2625428;-29806417.008329473;9.61842935349933;-5.551975974365057;-4.784526168315601;-21057206.18143322;-60450540.2417002;1526264.3650819508;-5.405992415800168;-9.000793338625286;0.6044028699147415
Mercury;2025-01-06 00:00:00.000;90.62916345879508;23.61744501310166;-40329075.5617319;-68818404.2625428;-29806417.008329473;9.61842935349933;-5.551975974365057;-4.784526168315601;-21057206.18143322;-60450540.2417002;1526264.3650819508;-5.405992415800168;-9.000793338625286;0.6044028699147415
Mercury;2025-04-21 00:00:00.000;115.0;21.610570764039323;-129872859.98237126;-71340941.0815748;-30900547.612395357;5.978964070864259;-16.875257892139455;-11.178898099494084;52241342.51949098;1445430.9792853994;1526264.3650819508;-14.689717830038724;49.71062821946439;32.62227136682335
Mercury;2025-04-21 00:00:00.000;105.08942489784673;21.812666531996506;-129872859.98237126;-71340941.0815748;-30900547.612395357;5.978964070864259;-16.875257892139455;-11.178898099494084;52241342.51949098;1445430.9792853994;1526264.3650819508;-14.689717830038724;49.71062821946439;32.62227136682335
Mercury;2025-04-21 00:00:00.000;119.19638695775768;22.9155637759437;-129872859.98237126;-71340941.0815748;-30900547.612395357;5.978964070864259;-16.875257892139455;-11.178898099494084;52241342.51949098;1445430.9792853994;1526264.3650819508;-14.689717830038724;49.71062821946439;32.62227136682335
Mercury;2025-04-26 00:00:00.000;110.0;21.085680092266664;-123018231.43405424;-81260663.57924886;-35191833.63119303;8.242792147117928;-16.031965448904554;-10.340755520000402;52241342.51949098;1445430.9792853994;1526264.3650819508;-15.71984930246598;50.13877347060884;31.288752707453703
Mercury;2025-04-26 00:00:00.000;112.60107947880952;21.86609746716687;-123018231.43405424;-81260663.57924886;-35191833.63119303;8.242792147117928;-16.031965448904554;-10.340755520000402;52241342.51949098;1445430.9792853994;1526264.3650819508;-15.71984930246598;50.13877347060884;31.288752707453703
Mercury;2025-04-26 00:00:00.000;118.2696679465434;19.326432769222347;-123018231.43405424;-81260663.57924886;-35191833.63119303;8.242792147117928;-16.031965448904554;-10.340755520000402;52241342.51949098;1445430.9792853994;1526264.3650819508;-15.71984930246598;50.13877347060884;31.288752707453703
Mercury;2025-05-01 00:00:00.000;105.0;20.91312857131413;-115285223.6967566;-90597713.67544208;-39237686.64502864;10.392912925215503;-14.87453144552804;-9.485055945422934;52241342.51949098;1445430.9792853994;1526264.3650819508;-16.684505843934005;50.386751296286825;30.208042281471265
Mercury;2025-05-01 00:00:00.000;100.49319032468344;20.894378954087376;-115285223.6967566;-90597713.67544208;-39237686.64502864;10.392912925215503;-14.87453144552804;-9.485055945422934;52241342.51949098;1445430.9792853994;1526264.3650819508;-16.684505843934005;50.386751296286825;30.208042281471265
Mercury;2025-05-01 00:00:00.000;101.45804899435224;22.613209976323184;-115285223.6967566;-90597713.67544208;-39237686.64502864;10.392912925215503;-14.87453144552804;-9.485055945422934;52241342.51949098;1445430.9792853994;1526264.3650819508;-16.684505843934005;50.386751296286825;30.208042281471265
Mercury;2025-05-01 00:00:00.000;110.0;20.20549384655248;-115285223.6967566;-90597713.67544208;-39237686.64502864;10.403047681041851;-14.576235455673842;-10.234256590379657;43515753.85107508;19958085.45019014;1526264.3650819508;-35.06342601947831;44.19360524538574;31.506289267572708
Mercury;2025-05-01 00:00:00.000;109.37894058389207;20.685436825735675;-115285223.6967566;-90597713.67544208;-39237686.64502864;10.403047681041851;-14.576235455673842;-10.234256590379657;43515753.85107508;19958085.45019014;1526264.3650819508;-35.06342601947831;44.19360524538574;31.506289267572708
Mercury;2025-05-01 00:00:00.000;117.40428125812583;20.08221581529405;-115285223.6967566;-90597713.67544208;-39237686.64502864;10.403047681041851;-14.576235455673842;-10.234256590379657;43515753.85107508;19958085.45019014;1526264.3650819508;-35.06342601947831;44.19360524538574;31.506289267572708
Mercury;2025-05-06 00:00:00.000;105.0;18.96728423907809;-106717931.93340863;-99275329.09555636;-43015005.03233475;12.560637634413233;-13.434150536535038;-8.829327886263467;43515753.85107508;19958085.45019014;1526264.3650819508;-36.04136188846262;45.07125451046036;28.94262788216185
Mercury;2025-05-06 00:00:00.000;100.66902917345332;19.587967160740163;-106717931.93340863;-99275329.09555636;-43015005.03233475;12.560637634413233;-13.434150536535038;-8.829327886263467;43515753.85107508;19958085.45019014;1526264.3650819508;-36.04136188846262;45.07125451046036;28.94262788216185
Mercury;2025-05-06 00:00:00.000;105.39004031645388;17.3173538949777;-106717931.93340863;-99275329.09555636;-43015005.03233475;12.560637634413233;-13.434150536535038;-8.829327886263467;43515753.85107508;19958085.45019014;1526264.3650819508;-36.04136188846262;45.07125451046036;28.94262788216185
Mercury;2025-05-11 00:00:00.000;100.0;18.652270863966507;-97386042.46845368;-107249617.87009062;-46469837.8858126;14.519496648336368;-11.858073254918711;-7.585597297399801;43515753.85107508;19958085.45019014;1526264.3650819508;-36.83788497917037;45.427401840363366;27.24154870949488
Mercury;2025-05-11 00:00:00.000;99.8159062099846;20.229665908830142;-97386042.46845368;-107249617.87009062;-46469837.8858126;14.519496648336368;-11.858073254918711;-7.585597297399801;43515753.85107508;19958085.45019014;1526264.3650819508;-36.83788497917037;45.427401840363366;27.24154870949488
Mercury;2025-05-11 00:00:00.000;103.85927868591436;18.992937284163;-97386042.46845368;-107249617.87009062;-46469837.8858126;14.519496648336368;-11.858073254918711;-7.585597297399801;43515753.85107508;19958085.45019014;1526264.3650819508;-36.83788497917037;45.427401840363366;27.24154870949488
Mercury;2025-05-11 00:00:00.000;100.0;18.65169989563648;-97385553.21937148;-107246187.08712892;-46464409.93981562;14.519072750602406;-11.859723495672188;-7.585325223778939;43515753.85107508;19958085.45019014;1526264.3650819508;-36.83825610726491;45.42860201246251;27.238538038004062
Mercury;2025-05-11 00:00:00.000;106.66125179085806;19.71970077552367;-97385553.21937148;-107246187.08712892;-46464409.93981562;14.519072750602406;-11.859723495672188;-7.585325223778939;43515753.85107508;19958085.45019014;1526264.3650819508;-36.83825610726491;45.42860201246251;27.238538038004062
Mercury;2025-05-11 00:00:00.000;103.30695272230145;17.10170180609322;-97385553.21937148;-107246187.08712892;-46464409.93981562;14.519072750602406;-11.859723495672188;-7.585325223778939;43515753.85107508;19958085.45019014;1526264.3650819508;-36.83825610726491;45.42860201246251;27.238538038004062
Mercury;2025-05-11 00:00:00.000;100.0;18.651688810848626;-97384136.5633404;-107247719.73399276;-46464034.32379899;14.519225019889898;-11.85973465382811;-7.58495772252507;43515753.85107508;19958085.45019014;1526264.3650819508;-36.83859678399134;45.42897128949692;27.237457468240237
Mercury;2025-05-11 00:00:00.000;90.88578288803664;19.279175162866625;-97384136.5633404;-107247719.73399276;-46464034.32379899;14.519225019889898;-11.85973465382811;-7.58495772252507;43515753.85107508;19958085.45019014;1526264.3650819508;-36.83859678399134;45.42897128949692;27.237457468240237
Mercury;2025-05-11 00:00:00.000;106.03200855434072;18.20492356796085;-97384136.5633404;-107247719.73399276;-46464034.32379899;14.519225019889898;-11.85973465382811;-7.58495772252507;43515753.85107508;19958085.45019014;1526264.3650819508;-36.83859678399134;45.42897128949692;27.237457468240237
Mercury;2025-05-11 00:00:00.000;100.0;18.65158287787816;-97383667.76711284;-107247875.38534851;-46462547.24249086;14.519214536911951;-11.860074792677835;-7.584656488391152;43515753.85107508;19958085.45019014;1526264.3650819508;-36.83879013492187;45.42954213828673;27.236166758853088
Mercury;2025-05-11 00:00:00.000;102.19419329447123;18.461258213887408;-97383667.76711284;-107247875.38534851;-46462547.24249086;14.519214536911951;-11.860074792677835;-7.584656488391152;43515753.85107508;19958085.45019014;1526264.3650819508;-36.83879013492187;45.42954213828673;27.236166758853088
Mercury;2025-05-11 00:00:00.000;104.04692751519468;18.58421089593396;-97383667.76711284;-107247875.38534851;-46462547.24249086;14.519214536911951;-11.860074792677835;-7.584656488391152;43515753.85107508;19958085.45019014;1526264.3650819508;-36.83879013492187;45.42954213828673;27.236166758853088
Mercury;2025-08-09 00:00:00.000;130.0;23.460507537289832;109087879.78005534;-96846526.27005196;-41957311.08568096;16.950100958138982;13.75105832576579;1.1513266464205314;-59406055.97399556;-17920555.103517;4028279.9316559;-0.0846204244280954;-52.90956601405821;-14.079971362435565
Mercury;2025-08-09 00:00:00.000;134.74112265211386;22.279766877023448;109087879.78005534;-96846526.27005196;-41957311.08568096;16.950100958138982;13.75105832576579;1.1513266464205314;-59406055.97399556;-17920555.103517;4028279.9316559;-0.0846204244280954;-52.90956601405821;-14.079971362435565
Mercury;2025-08-09 00:00:00.000;137.46856979245055;21.24327600645336;109087879.78005534;-96846526.27005196;-41957311.08568096;16.950100958138982;13.75105832576579;1.1513266464205314;-59406055.97399556;-17920555.103517;4028279.9316559;-0.0846204244280954;-52.90956601405821;-14.079971362435565
Mercury;2025-08-14 00:00:00.000;125.0;22.50298576006498;117363398.26110734;-88029206.66317405;-38134329.11137523;15.059995123263642;15.702501849160562;1.7069734569094686;-59406055.97399556;-17920555.103517;4028279.9316559;0.7134854349804627;-53.12307465082829;-13.088112354913047
Mercury;2025-08-14 00:00:00.000;116.04632692860136;23.67500161225696;117363398.26110734;-88029206.66317405;-38134329.11137523;15.059995123263642;15.702501849160562;1.7069734569094686;-59406055.97399556;-17920555.103517;4028279.9316559;0.7134854349804627;-53.12307465082829;-13.088112354913047
Mercury;2025-08-19 00:00:00.000;120.0;21.708819345290472;124818555.64668876;-78576474.47161664;-34040558.86992399;12.899863525657246;17.4789170778436;2.115250470992459;-59406055.97399556;-17920555.103517;4028279.9316559;1.424543199167017;-53.35803436311876;-11.9327822650045
Mercury;2025-08-19 00:00:00.000;108.80852567176488;22.987882880801887;124818555.64668876;-78576474.47161664;-34040558.86992399;12.899863525657246;17.4789170778436;2.115250470992459;-59406055.97399556;-17920555.103517;4028279.9316559;1.424543199167017;-53.35803436311876;-11.9327822650045
Mercury;2025-08-19 00:00:00.000;113.32180894279227;19.80762636399589;124818555.64668876;-78576474.47161664;-34040558.86992399;12.899863525657246;17.4789170778436;2.115250470992459;-59406055.97399556;-17920555.103517;4028279.9316559;1.424543199167017;-53.35803436311876;-11.9327822650045
Mercury;2025-08-24 00:00:00.000;115.0;21.109864167020653;131362545.25963144;-68581173.94488148;-29702677.267052755;10.488956732686974;19.051709137611347;2.341972097931935;-59406055.97399556;-17920555.103517;4028279.9316559;2.046042927260288;-53.62011823204992;-10.56187851198713
Mercury;2025-08-24 00:00:00.000;122.02253694977888;22.93639507509741;131362545.25963144;-68581173.94488148;-29702677.267052755;10.488956732686974;19.051709137611347;2.341972097931935;-59406055.97399556;-17920555.103517;4028279.9316559;2.046042927260288;-53.62011823204992;-10.56187851198713
Mercury;2025-08-24 00:00:00.000;108.41866669842636;20.26374470969597;131362545.25963144;-68581173.94488148;-29702677.267052755;10.488956732686974;19.051709137611347;2.341972097931935;-59406055.97399556;-17920555.103517;4028279.9316559;2.046042927260288;-53.62011823204992;-10.56187851198713
Mercury;2025-08-29 00:00:00.000;110.0;20.790108242398965;136976261.76149598;-58086229.2090788;-25157798.84705925;7.833475439531972;20.396878602226177;2.3477806042773044;-59406055.97399556;-17920555.103517;4028279.9316559;2.576668676492256;-53.91251526311916;-8.905535707383088
