planet;column;Q1;Q3;IQR;lower_bound;upper_bound;outliers_count
Callisto;tof_days_d;791.8523179507399;970.0;178.14768204926008;524.6307948768498;1237.2215230738902;0
Callisto;delta_v_km_s;14.197334101719967;15.687099720295326;1.4897656185753583;11.96268567385693;17.921748148158365;0
Callisto;r1_x_geocentric_km;-3092.565133767312;5210.948940629838;8303.51407439715;-15547.836245363036;17666.220052225563;0
Callisto;r1_y_geocentric_km;-4118.224358706903;4496.192276778885;8614.416635485788;-17039.849311935584;17417.817230007568;0
Callisto;r1_z_geocentric_km;-2504.393576102398;3737.6861642751583;6242.079740377556;-11867.513186668732;13100.80577484149;0
Callisto;orbit_altitude_km;650.686449190032;1501.933272205443;851.246823015411;-626.1837853330845;2778.8035067285596;0
Callisto;semi_major_axis_km;7028.823049190032;7880.069872205443;851.2468230154109;5751.952814666916;9156.94010672856;0
Callisto;eccentricity;0.0259485176285262;0.0701217571570486;0.0441732395285224;-0.04031134166425741;0.1363816164498322;0
Callisto;arg_periapsis_deg;61.41950786687562;292.7270312733689;231.30752340649326;-285.54177724286427;639.6883163831087;0
Callisto;raan_deg;131.6289499076486;276.2261795555478;144.59722964789918;-85.26689456420016;493.12202402739655;0
Callisto;inclination_deg;53.058005231828176;139.38142732642083;86.32342209459266;-76.4271279100608;268.8665604683098;0
Callisto;mean_anomaly_deg;119.18836957750976;275.6908122328751;156.50244265536531;-115.56529440553821;510.44447621592303;0
Callisto;eccentric_anomaly_deg;121.45213442843756;272.99169917245524;151.5395647440177;-105.85721268758898;500.30104628848176;0
Callisto;true_anomaly_deg;123.68977423003668;270.28825413786564;146.59847990782896;-96.20794563170676;490.1859739996091;0
Callisto;r1_x_km;136971739.30871025;148833073.86527997;11861334.556569725;119179737.47385566;166625075.70013458;23
Callisto;r1_y_km;-58080880.21889202;10697481.050243516;68778361.26913553;-161248422.1225953;113865022.95394681;0
Callisto;r1_z_km;-25151454.678812444;4660287.87851611;29811742.557328552;-69869068.51480527;49377901.714508936;0
Callisto;v1_x_km_s;-2.961721000386741;11.84076480623587;14.80248580662261;-25.165449710320654;34.04449351616978;0
Callisto;v1_y_km_s;24.78841102980792;27.135463438441317;2.3470524086333953;21.26783241685783;30.65604205139141;23
Callisto;v1_z_km_s;10.74572955166323;11.762579127085868;1.016849575422638;9.220455188529272;13.287853490219824;23
Callisto;v1_magnitude_km_s;29.49813106243827;29.72311280845385;0.22498174601557963;29.1606584434149;30.060585427477218;0
Callisto;r2_x_km;-810922456.0943334;-799203688.7367793;11718767.357554078;-828500607.1306646;-781625537.7004483;23
Callisto;r2_y_km;43054910.66528038;132860028.49934816;89805117.83406779;-91652766.0858213;267567705.25044984;16
Callisto;r2_z_km;17396924.19871931;18062826.035206936;665901.8364876248;16398071.443987874;19061678.789938375;23
Callisto;v2_x_km_s;-6.796398613261919;-0.3959570084876125;6.400441604774307;-16.39706102042338;9.204705398673848;0
Callisto;v2_y_km_s;-5.175002343337036;-4.29215581828288;0.8828465250541564;-6.499272130918271;-2.9678860307016453;21
Callisto;v2_z_km_s;0.2467200032831556;0.3364627989803219;0.08974279569716628;0.11210580973740616;0.4710769925260713;21
Callisto;v2_magnitude_km_s;4.357924842046967;9.32844917597984;4.970524333932873;-3.0978616588523424;16.78423567687915;0
Callisto;r1_with_gravity_corrected_x_km;136971739.30871555;148833073.86528584;11861334.556570292;119179737.47386011;166625075.70014128;23
Callisto;r1_with_gravity_corrected_y_km;-58080880.21889423;10697481.050243966;68778361.26913819;-161248422.1226015;113865022.95395124;0
Callisto;r1_with_gravity_corrected_z_km;-25151454.678813413;4660287.87851631;29811742.55732972;-69869068.514808;49377901.714510895;0
Callisto;r1_total_corrected_x_km;136971739.30871555;148833073.86528584;11861334.556570292;119179737.47386011;166625075.70014128;23
Callisto;r1_total_corrected_y_km;-58080880.21889423;10697481.050243966;68778361.26913819;-161248422.1226015;113865022.95395124;0
Callisto;r1_total_corrected_z_km;-25151454.678813413;4660287.87851631;29811742.55732972;-69869068.514808;49377901.714510895;0
Callisto;v1_transfer_x_km_s;-1.830068900706818;9.8214854652486;11.651554365955418;-19.307400449639943;27.298817014181726;15
Callisto;v1_transfer_y_km_s;32.70865073414165;37.348708729486766;4.640057995345117;25.748563741123974;44.30879572250444;0
Callisto;v1_transfer_z_km_s;10.347493266391291;15.92392974467836;5.576436478287068;1.9828385489606895;24.28858446210896;0
Callisto;r2_total_corrected_x_km;-810922456.0943016;-799203688.7367435;11718767.357558131;-828500607.1306388;-781625537.7004063;23
Callisto;r2_total_corrected_y_km;43054910.66529745;132860028.49934444;89805117.83404699;-91652766.08577305;267567705.25041494;16
Callisto;r2_total_corrected_z_km;17396924.19871968;18062826.0352079;665901.8364882208;16398071.443987349;19061678.78994023;23
Callisto;v2_transfer_x_km_s;-5.139907669258015;-1.5374861833505744;3.602421485907441;-10.543539898119176;3.866146045510587;0
Callisto;v2_transfer_y_km_s;-6.5987737008686125;-5.97861769268455;0.6201560081840629;-7.529007713144707;-5.048383680408455;16
Callisto;v2_transfer_z_km_s;-2.9669785282054457;-1.8638789183411089;1.1030996098643369;-4.6216279430019505;-0.20922950354460368;0
Callisto;delta_r1_with_gravity_x_km;5.27501106262207e-06;5.8710575103759766e-06;5.960464477539062e-07;4.380941390991211e-06;6.765127182006836e-06;0
Callisto;delta_r1_with_gravity_y_km;-2.205371856689453e-06;4.507601261138916e-07;2.6561319828033447e-06;-6.18956983089447e-06;4.434958100318909e-06;0
Callisto;delta_r1_with_gravity_z_km;-9.685754776000977e-07;2.002343535423279e-07;1.1688098311424255e-06;-2.721790224313736e-06;1.953449100255966e-06;0
Callisto;delta_r1_x_km;5.27501106262207e-06;5.8710575103759766e-06;5.960464477539062e-07;4.380941390991211e-06;6.765127182006836e-06;0
Callisto;delta_r1_y_km;-2.205371856689453e-06;4.507601261138916e-07;2.6561319828033447e-06;-6.18956983089447e-06;4.434958100318909e-06;0
Callisto;delta_r1_z_km;-9.685754776000977e-07;2.002343535423279e-07;1.1688098311424255e-06;-2.721790224313736e-06;1.953449100255966e-06;0
Callisto;delta_r2_x_km;3.039836883544922e-05;3.5643577575683594e-05;5.245208740234375e-06;2.2530555725097656e-05;4.3511390686035156e-05;21
Callisto;delta_r2_y_km;-4.649162292480469e-06;1.949071884155273e-05;2.41398811340332e-05;-4.085898399353027e-05;5.5700540542602526e-05;0
Callisto;delta_r2_z_km;3.390014171600342e-07;1.0207295417785645e-06;6.817281246185303e-07;-6.835907697677612e-07;2.04332172870636e-06;0
Callisto;ax_J2_km_s2;-5.258320738913208e-23;-3.96998066359432e-23;1.2883400753188882e-23;-7.19083085189154e-23;-2.0374705506159878e-23;0
Callisto;ay_J2_km_s2;-3.779797636136577e-24;1.6835964668891533e-23;2.0615762305028112e-23;-3.470344109367874e-23;4.7759608126433704e-23;0
Callisto;az_J2_km_s2;-4.95712076908758e-24;2.4226699224268644e-23;2.918381999335622e-23;-4.873285075912191e-23;6.800242921430298e-23;0
Callisto;a_J2_magnitude_km_s2;4.946910141321143e-23;5.295674133582795e-23;3.48763992261652e-24;4.423764152928665e-23;5.818820121975273e-23;0
Callisto;ax_J3_km_s2;-5.330197024575882e-34;7.004380856544147e-32;7.057682826789905e-32;-1.0639826210430616e-31;1.7590905096729004e-31;35
Callisto;ay_J3_km_s2;-2.972636339831868e-32;-3.8352575266248603e-35;2.968801082305243e-32;-7.425837963289733e-32;4.4493663659312396e-32;28
Callisto;az_J3_km_s2;-5.316821057237841e-39;1.1010973925293333e-39;6.417918449767174e-39;-1.4943698731888602e-38;1.0727975067180094e-38;0
Callisto;a_J3_magnitude_km_s2;5.35035014093749e-34;7.613846734704058e-32;7.560343233294683e-32;-1.128701134853265e-31;1.8954361584646085e-31;23
Callisto;ax_J4_km_s2;-3.1434313973878183e-20;-4.435794649725561e-23;3.138995602738093e-20;-7.851924801494958e-20;4.704057609457414e-20;28
Callisto;ay_J4_km_s2;-3.179029808409341e-24;1.3319411099037923e-20;1.3322590128846332e-20;-1.9987064223077908e-20;3.3303296292307423e-20;40
Callisto;az_J4_km_s2;-1.3866781157716643e-24;5.766768394158039e-21;5.768155072273811e-21;-8.653619286526489e-21;1.4419001002568756e-20;40
Callisto;a_J4_magnitude_km_s2;4.449405512109286e-23;3.4628805571174114e-20;3.458431151605302e-20;-5.183197321895844e-20;8.650527284525364e-20;28
Callisto;Sun_effect_start_km_s2;5.811145140619736e-06;5.9055347161718975e-06;9.43895755521616e-08;5.669560777291493e-06;6.0471190795001394e-06;0
Callisto;Mercury_effect_start_km_s2;6.497061956299899e-12;8.310243933227044e-12;1.8131819769271447e-12;3.777288990909183e-12;1.1030016898617762e-11;21
Callisto;Venus_effect_start_km_s2;6.026894842018535e-10;1.7729450249999568e-08;1.7126760765797714e-08;-2.5087451664494716e-08;4.341959139869614e-08;0
Callisto;Earth_effect_start_km_s2;3.478496164824972e-13;3.726099423889788e-13;2.476032590648158e-14;3.1070912762277484e-13;4.0975043124870116e-13;21
Callisto;Mars_effect_start_km_s2;7.397190089750337e-12;2.204345701046223e-10;2.1303738001487197e-10;-3.1215887993255765e-10;5.399906401269303e-10;0
Callisto;Moon_effect_start_km_s2;1.714041006141678e-10;1.951742914027908e-10;2.3770190788623015e-11;1.3574881443123326e-10;2.3082957758572533e-10;0
Callisto;Jupiter_effect_start_km_s2;2.2801077854918508e-11;2.316561319655308e-11;3.6453534163457234e-13;2.225427484246665e-11;2.371241620900494e-11;17
